Pothole,Method, CN_A, CN_B, CN_C, CN_D,Infiltration,NSE,PBIAS,RSR,R2,
Walnut,3,72,81,88,91,25,0.41389815,37.79863042,0.76423798,0.433122495,
Walnut,3,72,81,88,91,30,0.37906696,52.86614947,0.78661904,0.426317392,
Walnut,3,72,81,88,91,35,0.33138391,63.54847913,0.81626369,0.402007216,
Walnut,3,72,81,88,91,40,0.28107833,71.74834262,0.84641403,0.367561173,
Walnut,3,72,81,88,91,45,0.23021715,77.47390286,0.87584284,0.321821563,
Walnut,3,72,81,88,91,50,0.20309636,81.26402912,0.89113802,0.312274328,
Walnut,3,72,81,88,91,55,0.17211565,84.4528222,0.90829496,0.292288132,
Lettuce,1,72,81,88,91,30,-1.14450354,-178.7706191,1.46212242,0.577037161,
Lettuce,1,72,81,88,91,35,-0.05289454,-105.5271602,1.02450195,0.669079255,
Lettuce,1,72,81,88,91,40,0.50963387,-56.48497018,0.69916646,0.743686324,
Lettuce,1,72,81,88,91,45,0.74497217,-19.31862491,0.50421311,0.782634726,
Lettuce,1,72,81,88,91,50,0.76642683,4.30417636,0.48253835,0.768640869,
Lettuce,1,72,81,88,91,55,0.73076725,18.81444634,0.51806505,0.736554331,
Lettuce,1,72,81,88,91,60,0.69553461,29.66758681,0.55092098,0.714487128,
Lettuce,1,72,81,88,91,65,0.64912245,38.56683747,0.59142291,0.68539467,
Lettuce,1,72,81,88,91,70,0.59726067,45.85411672,0.6336251,0.651825675,
Lettuce,1,72,81,88,91,75,0.54083354,52.07166113,0.67655862,0.612699756,
Lettuce,1,72,81,88,91,80,0.48442352,57.59526748,0.71691373,0.572464258,
Lettuce,2,72,81,88,91,15,-18.4458237,-708.30638,4.4028463,0.191406948,
Lettuce,2,72,81,88,91,20,-2.39918765,-262.5115846,1.84080558,0.507947111,
Lettuce,2,72,81,88,91,25,-0.24338522,-121.0315851,1.11332818,0.651423739,
Lettuce,2,72,81,88,91,30,0.53910299,-53.68091835,0.67783236,0.747700572,
Lettuce,2,72,81,88,91,35,0.76768368,-7.25911762,0.48123833,0.7784907,
Lettuce,2,72,81,88,91,40,0.74030274,14.80194202,0.50880812,0.743716358,
Lettuce,2,72,81,88,91,45,0.69071381,29.9278128,0.5552654,0.709943351,
Lettuce,2,72,81,88,91,50,0.62786543,41.28684425,0.60907442,0.670155716,
Lettuce,2,72,81,88,91,55,0.55592175,50.14237256,0.66534991,0.621550222,
Lettuce,2,72,81,88,91,60,0.48242685,57.49629921,0.71830059,0.569551225,
Lettuce,3,72,81,88,91,15,-0.77632174,-160.8413782,1.3307031,0.608863301,
Lettuce,3,72,81,88,91,20,0.56595747,-51.2180375,0.65778883,0.749901904,
Lettuce,3,72,81,88,91,25,0.75485065,4.97194966,0.49435135,0.756944687,
Lettuce,3,72,81,88,91,30,0.68576864,29.32485037,0.55968686,0.70377373,
Lettuce,3,72,81,88,91,35,0.59281099,45.21349237,0.6371158,0.644535031,
Lettuce,3,72,81,88,91,40,0.4855154,56.63749171,0.7161542,0.568793451,
Lettuce,3,72,81,88,91,45,0.38812159,65.23894084,0.78100339,0.495051086,
Lettuce,3,72,81,88,91,50,0.3238347,70.99370334,0.82100687,0.447266639,
Lettuce,3,72,81,88,91,55,0.27920567,75.1378177,0.84766847,0.419640442,
Cardinal,1,72,81,88,91,140,0.54967162,-16.19258643,0.66879415,0.55764354,
Cardinal,1,72,81,88,91,145,0.56863099,-10.41934433,0.65456425,0.571382103,
Cardinal,1,72,81,88,91,150,0.58358202,-4.86302667,0.64312078,0.583939678,
Cardinal,1,72,81,88,91,155,0.59547636,0.34002111,0.63386936,0.595846911,
Cardinal,1,72,81,88,91,160,0.60390216,5.37338129,0.62723321,0.60628163,
Cardinal,1,72,81,88,91,165,0.6090936,10.28422249,0.62310925,0.615453133,
Cardinal,1,72,81,88,91,170,0.61037816,15.50629978,0.62208461,0.6235312,
Cardinal,1,72,81,88,91,175,0.60851798,20.45345996,0.62356785,0.630276902,
Cardinal,1,72,81,88,91,180,0.6036852,25.23761121,0.62740497,0.634891835,
Cardinal,2,72,81,88,91,60,0.50146842,-29.65183313,0.70367828,0.535197781,
Cardinal,2,72,81,88,91,65,0.56207105,-12.78589788,0.65952253,0.56792273,
Cardinal,2,72,81,88,91,70,0.59496398,1.24894684,0.63427068,0.595313197,
Cardinal,2,72,81,88,91,75,0.60506889,13.66902878,0.62630876,0.614928719,
Cardinal,2,72,81,88,91,80,0.59970745,24.34050206,0.63054569,0.627918117,
Cardinal,3,72,81,88,91,30,0.12350187,-92.20343316,0.93304654,0.42115363,
Cardinal,3,72,81,88,91,35,0.3951039,-50.38791862,0.77511868,0.491959604,
Cardinal,3,72,81,88,91,40,0.53441965,-20.32154777,0.68002539,0.550071366,
Cardinal,3,72,81,88,91,45,0.59149465,2.3037411,0.6369813,0.592000973,
