"","fill","y","x","PANEL","group","flipped_aes","ymin","ymax","xmin","xmax","colour","size","linetype","alpha"
"1","#1B9E77",2790.06494276,1,"1",1,FALSE,0,2790.06494276,0.55,1.45,NA,0.5,1,NA
"2","#1B9E77",4920.64130956,2,"1",7,FALSE,0,4920.64130956,1.55,2.45,NA,0.5,1,NA
"3","#1B9E77",8654.736229736,3,"1",13,FALSE,0,8654.736229736,2.55,3.45,NA,0.5,1,NA
"4","#1B9E77",16239.55587712,4,"1",19,FALSE,0,16239.55587712,3.55,4.45,NA,0.5,1,NA
"5","#1B9E77",20168.29515128,5,"1",25,FALSE,0,20168.29515128,4.55,5.45,NA,0.5,1,NA
"6","#1B9E77",18734.04306452,6,"1",31,FALSE,0,18734.04306452,5.55,6.45,NA,0.5,1,NA
"7","#1B9E77",14669.57828412,7,"1",37,FALSE,0,14669.57828412,6.55,7.45,NA,0.5,1,NA
"8","#1B9E77",18105.11572488,8,"1",43,FALSE,0,18105.11572488,7.55,8.45,NA,0.5,1,NA
"9","#1B9E77",17020.74469416,9,"1",49,FALSE,0,17020.74469416,8.55,9.45,NA,0.5,1,NA
"10","#1B9E77",14378.82180492,10,"1",55,FALSE,0,14378.82180492,9.55,10.45,NA,0.5,1,NA
"11","#1B9E77",9273.89623012,11,"1",61,FALSE,0,9273.89623012,10.55,11.45,NA,0.5,1,NA
"12","#1B9E77",5178.39586052,12,"1",67,FALSE,0,5178.39586052,11.55,12.45,NA,0.5,1,NA
"13","#1B9E77",3139.8323888,1,"2",1,FALSE,0,3139.8323888,0.55,1.45,NA,0.5,1,NA
"14","#1B9E77",5493.4055906,2,"2",7,FALSE,0,5493.4055906,1.55,2.45,NA,0.5,1,NA
"15","#1B9E77",9668.28546432,3,"2",13,FALSE,0,9668.28546432,2.55,3.45,NA,0.5,1,NA
"16","#1B9E77",17402.758226428,4,"2",19,FALSE,0,17402.758226428,3.55,4.45,NA,0.5,1,NA
"17","#1B9E77",21357.00595084,5,"2",25,FALSE,0,21357.00595084,4.55,5.45,NA,0.5,1,NA
"18","#1B9E77",16647.06499808,6,"2",31,FALSE,0,16647.06499808,5.55,6.45,NA,0.5,1,NA
"19","#1B9E77",11088.76512676,7,"2",37,FALSE,0,11088.76512676,6.55,7.45,NA,0.5,1,NA
"20","#1B9E77",14572.59002784,8,"2",43,FALSE,0,14572.59002784,7.55,8.45,NA,0.5,1,NA
"21","#1B9E77",14413.14844728,9,"2",49,FALSE,0,14413.14844728,8.55,9.45,NA,0.5,1,NA
"22","#1B9E77",13097.29176828,10,"2",55,FALSE,0,13097.29176828,9.55,10.45,NA,0.5,1,NA
"23","#1B9E77",10778.45347252,11,"2",61,FALSE,0,10778.45347252,10.55,11.45,NA,0.5,1,NA
"24","#1B9E77",5954.98087324,12,"2",67,FALSE,0,5954.98087324,11.55,12.45,NA,0.5,1,NA
"25","#1B9E77",3452.3754856,1,"3",1,FALSE,0,3452.3754856,0.55,1.45,NA,0.5,1,NA
"26","#1B9E77",6083.3652464,2,"3",7,FALSE,0,6083.3652464,1.55,2.45,NA,0.5,1,NA
"27","#1B9E77",11148.96662756,3,"3",13,FALSE,0,11148.96662756,2.55,3.45,NA,0.5,1,NA
"28","#1B9E77",18594.54688472,4,"3",19,FALSE,0,18594.54688472,3.55,4.45,NA,0.5,1,NA
"29","#1B9E77",22906.9844872,5,"3",25,FALSE,0,22906.9844872,4.55,5.45,NA,0.5,1,NA
"30","#1B9E77",12901.15346488,6,"3",31,FALSE,0,12901.15346488,5.55,6.45,NA,0.5,1,NA
"31","#1B9E77",6898.675308,7,"3",37,FALSE,0,6898.675308,6.55,7.45,NA,0.5,1,NA
"32","#1B9E77",10106.63380268,8,"3",43,FALSE,0,10106.63380268,7.55,8.45,NA,0.5,1,NA
"33","#1B9E77",10426.65258944,9,"3",49,FALSE,0,10426.65258944,8.55,9.45,NA,0.5,1,NA
"34","#1B9E77",10121.48619216,10,"3",55,FALSE,0,10121.48619216,9.55,10.45,NA,0.5,1,NA
"35","#1B9E77",12126.2153776,11,"3",61,FALSE,0,12126.2153776,10.55,11.45,NA,0.5,1,NA
"36","#1B9E77",6671.42202456,12,"3",67,FALSE,0,6671.42202456,11.55,12.45,NA,0.5,1,NA
"37","#1B9E77",2626.99865252,1,"4",1,FALSE,0,2626.99865252,0.55,1.45,NA,0.5,1,NA
"38","#1B9E77",4730.3594248,2,"4",7,FALSE,0,4730.3594248,1.55,2.45,NA,0.5,1,NA
"39","#1B9E77",8242.76869188,3,"4",13,FALSE,0,8242.76869188,2.55,3.45,NA,0.5,1,NA
"40","#1B9E77",15883.8866164,4,"4",19,FALSE,0,15883.8866164,3.55,4.45,NA,0.5,1,NA
"41","#1B9E77",19808.80576344,5,"4",25,FALSE,0,19808.80576344,4.55,5.45,NA,0.5,1,NA
"42","#1B9E77",18476.00918024,6,"4",31,FALSE,0,18476.00918024,5.55,6.45,NA,0.5,1,NA
"43","#1B9E77",14143.864457012,7,"4",37,FALSE,0,14143.864457012,6.55,7.45,NA,0.5,1,NA
"44","#1B9E77",17703.72645348,8,"4",43,FALSE,0,17703.72645348,7.55,8.45,NA,0.5,1,NA
"45","#1B9E77",16523.08468824,9,"4",49,FALSE,0,16523.08468824,8.55,9.45,NA,0.5,1,NA
"46","#1B9E77",13965.69202456,10,"4",55,FALSE,0,13965.69202456,9.55,10.45,NA,0.5,1,NA
"47","#1B9E77",8960.88954016,11,"4",61,FALSE,0,8960.88954016,10.55,11.45,NA,0.5,1,NA
"48","#1B9E77",4894.529177744,12,"4",67,FALSE,0,4894.529177744,11.55,12.45,NA,0.5,1,NA
"49","#1B9E77",2925.9981956,1,"5",1,FALSE,0,2925.9981956,0.55,1.45,NA,0.5,1,NA
"50","#1B9E77",5228.414405,2,"5",7,FALSE,0,5228.414405,1.55,2.45,NA,0.5,1,NA
"51","#1B9E77",9147.348677832,3,"5",13,FALSE,0,9147.348677832,2.55,3.45,NA,0.5,1,NA
"52","#1B9E77",16785.43888804,4,"5",19,FALSE,0,16785.43888804,3.55,4.45,NA,0.5,1,NA
"53","#1B9E77",20893.35226812,5,"5",25,FALSE,0,20893.35226812,4.55,5.45,NA,0.5,1,NA
"54","#1B9E77",16661.84306516,6,"5",31,FALSE,0,16661.84306516,5.55,6.45,NA,0.5,1,NA
"55","#1B9E77",11315.51168008,7,"5",37,FALSE,0,11315.51168008,6.55,7.45,NA,0.5,1,NA
"56","#1B9E77",14421.316883792,8,"5",43,FALSE,0,14421.316883792,7.55,8.45,NA,0.5,1,NA
"57","#1B9E77",14138.38470492,9,"5",49,FALSE,0,14138.38470492,8.55,9.45,NA,0.5,1,NA
"58","#1B9E77",12756.00863828,10,"5",55,FALSE,0,12756.00863828,9.55,10.45,NA,0.5,1,NA
"59","#1B9E77",10237.2284098,11,"5",61,FALSE,0,10237.2284098,10.55,11.45,NA,0.5,1,NA
"60","#1B9E77",5534.14389792,12,"5",67,FALSE,0,5534.14389792,11.55,12.45,NA,0.5,1,NA
"61","#1B9E77",3190.3042288,1,"6",1,FALSE,0,3190.3042288,0.55,1.45,NA,0.5,1,NA
"62","#1B9E77",5676.97319784,2,"6",7,FALSE,0,5676.97319784,1.55,2.45,NA,0.5,1,NA
"63","#1B9E77",10379.348348852,3,"6",13,FALSE,0,10379.348348852,2.55,3.45,NA,0.5,1,NA
"64","#1B9E77",17867.17033776,4,"6",19,FALSE,0,17867.17033776,3.55,4.45,NA,0.5,1,NA
"65","#1B9E77",22246.99335812,5,"6",25,FALSE,0,22246.99335812,4.55,5.45,NA,0.5,1,NA
"66","#1B9E77",13253.23877208,6,"6",31,FALSE,0,13253.23877208,5.55,6.45,NA,0.5,1,NA
"67","#1B9E77",7344.82045612,7,"6",37,FALSE,0,7344.82045612,6.55,7.45,NA,0.5,1,NA
"68","#1B9E77",10166.76291512,8,"6",43,FALSE,0,10166.76291512,7.55,8.45,NA,0.5,1,NA
"69","#1B9E77",10455.98234272,9,"6",49,FALSE,0,10455.98234272,8.55,9.45,NA,0.5,1,NA
"70","#1B9E77",10014.577867,10,"6",55,FALSE,0,10014.577867,9.55,10.45,NA,0.5,1,NA
"71","#1B9E77",11426.61922588,11,"6",61,FALSE,0,11426.61922588,10.55,11.45,NA,0.5,1,NA
"72","#1B9E77",6194.24773188,12,"6",67,FALSE,0,6194.24773188,11.55,12.45,NA,0.5,1,NA
"73","#1B9E77",0,1,"7",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"74","#1B9E77",0,2,"7",7,FALSE,0,0,1.55,2.45,NA,0.5,1,NA
"75","#1B9E77",1661.82790656,3,"7",13,FALSE,0,1661.82790656,2.55,3.45,NA,0.5,1,NA
"76","#1B9E77",7094.46329532,4,"7",19,FALSE,0,7094.46329532,3.55,4.45,NA,0.5,1,NA
"77","#1B9E77",10478.37188692,5,"7",25,FALSE,0,10478.37188692,4.55,5.45,NA,0.5,1,NA
"78","#1B9E77",11341.7735052,6,"7",31,FALSE,0,11341.7735052,5.55,6.45,NA,0.5,1,NA
"79","#1B9E77",7917.16429416,7,"7",37,FALSE,0,7917.16429416,6.55,7.45,NA,0.5,1,NA
"80","#1B9E77",9137.34382948,8,"7",43,FALSE,0,9137.34382948,7.55,8.45,NA,0.5,1,NA
