"","fill","y","x","PANEL","group","flipped_aes","ymin","ymax","xmin","xmax","colour","size","linetype","alpha"
"1","#1B9E77",681.26359156,1,"1",1,FALSE,0,681.26359156,0.55,1.45,NA,0.5,1,NA
"2","#1B9E77",3021.92375668,2,"1",7,FALSE,0,3021.92375668,1.55,2.45,NA,0.5,1,NA
"3","#1B9E77",6093.759061,3,"1",13,FALSE,0,6093.759061,2.55,3.45,NA,0.5,1,NA
"4","#1B9E77",13393.33122184,4,"1",19,FALSE,0,13393.33122184,3.55,4.45,NA,0.5,1,NA
"5","#1B9E77",17164.13414384,5,"1",25,FALSE,0,17164.13414384,4.55,5.45,NA,0.5,1,NA
"6","#1B9E77",14870.44376384,6,"1",31,FALSE,0,14870.44376384,5.55,6.45,NA,0.5,1,NA
"7","#1B9E77",10870.5650564,7,"1",37,FALSE,0,10870.5650564,6.55,7.45,NA,0.5,1,NA
"8","#1B9E77",14832.23434344,8,"1",43,FALSE,0,14832.23434344,7.55,8.45,NA,0.5,1,NA
"9","#1B9E77",13279.6809624,9,"1",49,FALSE,0,13279.6809624,8.55,9.45,NA,0.5,1,NA
"10","#1B9E77",9451.6081406,10,"1",55,FALSE,0,9451.6081406,9.55,10.45,NA,0.5,1,NA
"11","#1B9E77",5838.40521836,11,"1",61,FALSE,0,5838.40521836,10.55,11.45,NA,0.5,1,NA
"12","#1B9E77",4015.7852032,12,"1",67,FALSE,0,4015.7852032,11.55,12.45,NA,0.5,1,NA
"13","#1B9E77",1268.18695244,1,"2",1,FALSE,0,1268.18695244,0.55,1.45,NA,0.5,1,NA
"14","#1B9E77",3577.68811144,2,"2",7,FALSE,0,3577.68811144,1.55,2.45,NA,0.5,1,NA
"15","#1B9E77",6982.052266,3,"2",13,FALSE,0,6982.052266,2.55,3.45,NA,0.5,1,NA
"16","#1B9E77",14415.084866924,4,"2",19,FALSE,0,14415.084866924,3.55,4.45,NA,0.5,1,NA
"17","#1B9E77",18104.92832064,5,"2",25,FALSE,0,18104.92832064,4.55,5.45,NA,0.5,1,NA
"18","#1B9E77",11889.5981736584,6,"2",31,FALSE,0,11889.5981736584,5.55,6.45,NA,0.5,1,NA
"19","#1B9E77",8466.09815804,7,"2",37,FALSE,0,8466.09815804,6.55,7.45,NA,0.5,1,NA
"20","#1B9E77",12390.53471624,8,"2",43,FALSE,0,12390.53471624,7.55,8.45,NA,0.5,1,NA
"21","#1B9E77",11677.14952736,9,"2",49,FALSE,0,11677.14952736,8.55,9.45,NA,0.5,1,NA
"22","#1B9E77",8683.20680656,10,"2",55,FALSE,0,8683.20680656,9.55,10.45,NA,0.5,1,NA
"23","#1B9E77",6927.08383388,11,"2",61,FALSE,0,6927.08383388,10.55,11.45,NA,0.5,1,NA
"24","#1B9E77",4216.686266,12,"2",67,FALSE,0,4216.686266,11.55,12.45,NA,0.5,1,NA
"25","#1B9E77",1804.3392664,1,"3",1,FALSE,0,1804.3392664,0.55,1.45,NA,0.5,1,NA
"26","#1B9E77",4334.61913352,2,"3",7,FALSE,0,4334.61913352,1.55,2.45,NA,0.5,1,NA
"27","#1B9E77",7854.589740124,3,"3",13,FALSE,0,7854.589740124,2.55,3.45,NA,0.5,1,NA
"28","#1B9E77",15502.05395588,4,"3",19,FALSE,0,15502.05395588,3.55,4.45,NA,0.5,1,NA
"29","#1B9E77",19374.51714884,5,"3",25,FALSE,0,19374.51714884,4.55,5.45,NA,0.5,1,NA
"30","#1B9E77",8712.9432052,6,"3",31,FALSE,0,8712.9432052,5.55,6.45,NA,0.5,1,NA
"31","#1B9E77",4774.898468492,7,"3",37,FALSE,0,4774.898468492,6.55,7.45,NA,0.5,1,NA
"32","#1B9E77",8814.11619444,8,"3",43,FALSE,0,8814.11619444,7.55,8.45,NA,0.5,1,NA
"33","#1B9E77",8178.7398804,9,"3",49,FALSE,0,8178.7398804,8.55,9.45,NA,0.5,1,NA
"34","#1B9E77",7031.82583808,10,"3",55,FALSE,0,7031.82583808,9.55,10.45,NA,0.5,1,NA
"35","#1B9E77",8378.316652076,11,"3",61,FALSE,0,8378.316652076,10.55,11.45,NA,0.5,1,NA
"36","#1B9E77",4399.5206722,12,"3",67,FALSE,0,4399.5206722,11.55,12.45,NA,0.5,1,NA
"37","#1B9E77",562.209368414,1,"4",1,FALSE,0,562.209368414,0.55,1.45,NA,0.5,1,NA
"38","#1B9E77",2812.62723952,2,"4",7,FALSE,0,2812.62723952,1.55,2.45,NA,0.5,1,NA
"39","#1B9E77",5663.41644992,3,"4",13,FALSE,0,5663.41644992,2.55,3.45,NA,0.5,1,NA
"40","#1B9E77",13048.5004428,4,"4",19,FALSE,0,13048.5004428,3.55,4.45,NA,0.5,1,NA
"41","#1B9E77",16663.90595012,5,"4",25,FALSE,0,16663.90595012,4.55,5.45,NA,0.5,1,NA
"42","#1B9E77",14837.03620684,6,"4",31,FALSE,0,14837.03620684,5.55,6.45,NA,0.5,1,NA
"43","#1B9E77",10763.7740732,7,"4",37,FALSE,0,10763.7740732,6.55,7.45,NA,0.5,1,NA
"44","#1B9E77",14459.79603704,8,"4",43,FALSE,0,14459.79603704,7.55,8.45,NA,0.5,1,NA
"45","#1B9E77",12957.8319396,9,"4",49,FALSE,0,12957.8319396,8.55,9.45,NA,0.5,1,NA
"46","#1B9E77",9148.96765736,10,"4",55,FALSE,0,9148.96765736,9.55,10.45,NA,0.5,1,NA
"47","#1B9E77",5591.2862372,11,"4",61,FALSE,0,5591.2862372,10.55,11.45,NA,0.5,1,NA
"48","#1B9E77",3882.55708724,12,"4",67,FALSE,0,3882.55708724,11.55,12.45,NA,0.5,1,NA
"49","#1B9E77",1011.81025484,1,"5",1,FALSE,0,1011.81025484,0.55,1.45,NA,0.5,1,NA
"50","#1B9E77",3261.59549936,2,"5",7,FALSE,0,3261.59549936,1.55,2.45,NA,0.5,1,NA
"51","#1B9E77",6464.86189324,3,"5",13,FALSE,0,6464.86189324,2.55,3.45,NA,0.5,1,NA
"52","#1B9E77",13880.26780448,4,"5",19,FALSE,0,13880.26780448,3.55,4.45,NA,0.5,1,NA
"53","#1B9E77",17647.87290528,5,"5",25,FALSE,0,17647.87290528,4.55,5.45,NA,0.5,1,NA
"54","#1B9E77",12219.47655272,6,"5",31,FALSE,0,12219.47655272,5.55,6.45,NA,0.5,1,NA
"55","#1B9E77",8609.132939284,7,"5",37,FALSE,0,8609.132939284,6.55,7.45,NA,0.5,1,NA
"56","#1B9E77",12103.82683256,8,"5",43,FALSE,0,12103.82683256,7.55,8.45,NA,0.5,1,NA
"57","#1B9E77",11337.74801748,9,"5",49,FALSE,0,11337.74801748,8.55,9.45,NA,0.5,1,NA
"58","#1B9E77",8501.61609548,10,"5",55,FALSE,0,8501.61609548,9.55,10.45,NA,0.5,1,NA
"59","#1B9E77",6465.59973716,11,"5",61,FALSE,0,6465.59973716,10.55,11.45,NA,0.5,1,NA
"60","#1B9E77",4046.2599968,12,"5",67,FALSE,0,4046.2599968,11.55,12.45,NA,0.5,1,NA
"61","#1B9E77",1586.99117992,1,"6",1,FALSE,0,1586.99117992,0.55,1.45,NA,0.5,1,NA
"62","#1B9E77",3755.33638676,2,"6",7,FALSE,0,3755.33638676,1.55,2.45,NA,0.5,1,NA
"63","#1B9E77",7341.45510432,3,"6",13,FALSE,0,7341.45510432,2.55,3.45,NA,0.5,1,NA
"64","#1B9E77",14823.77927256,4,"6",19,FALSE,0,14823.77927256,3.55,4.45,NA,0.5,1,NA
"65","#1B9E77",18764.103478704,5,"6",25,FALSE,0,18764.103478704,4.55,5.45,NA,0.5,1,NA
"66","#1B9E77",9449.99575172,6,"6",31,FALSE,0,9449.99575172,5.55,6.45,NA,0.5,1,NA
"67","#1B9E77",5270.77052388,7,"6",37,FALSE,0,5270.77052388,6.55,7.45,NA,0.5,1,NA
"68","#1B9E77",8834.6001808,8,"6",43,FALSE,0,8834.6001808,7.55,8.45,NA,0.5,1,NA
"69","#1B9E77",8200.1642484,9,"6",49,FALSE,0,8200.1642484,8.55,9.45,NA,0.5,1,NA
"70","#1B9E77",6809.1168342,10,"6",55,FALSE,0,6809.1168342,9.55,10.45,NA,0.5,1,NA
"71","#1B9E77",7788.73500448,11,"6",61,FALSE,0,7788.73500448,10.55,11.45,NA,0.5,1,NA
"72","#1B9E77",4142.6658776,12,"6",67,FALSE,0,4142.6658776,11.55,12.45,NA,0.5,1,NA
"73","#1B9E77",0,1,"7",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"74","#1B9E77",0,2,"7",7,FALSE,0,0,1.55,2.45,NA,0.5,1,NA
"75","#1B9E77",586.45878672,3,"7",13,FALSE,0,586.45878672,2.55,3.45,NA,0.5,1,NA
"76","#1B9E77",5470.63861272,4,"7",19,FALSE,0,5470.63861272,3.55,4.45,NA,0.5,1,NA
"77","#1B9E77",8092.93122,5,"7",25,FALSE,0,8092.93122,4.55,5.45,NA,0.5,1,NA
"78","#1B9E77",8714.74789192,6,"7",31,FALSE,0,8714.74789192,5.55,6.45,NA,0.5,1,NA
"79","#1B9E77",5341.131586608,7,"7",37,FALSE,0,5341.131586608,6.55,7.45,NA,0.5,1,NA
"80","#1B9E77",7638.7249632,8,"7",43,FALSE,0,7638.7249632,7.55,8.45,NA,0.5,1,NA
"81","#1B9E77",6751.21603408,9,"7",49,FALSE,0,6751.21603408,8.55,9.45,NA,0.5,1,NA
"82","#1B9E77",2249.311686908,10,"7",55,FALSE,0,2249.311686908,9.55,10.45,NA,0.5,1,NA
"83","#1B9E77",1039.95610444,11,"7",61,FALSE,0,1039.95610444,10.55,11.45,NA,0.5,1,NA
"84","#1B9E77",1281.8684716,12,"7",67,FALSE,0,1281.8684716,11.55,12.45,NA,0.5,1,NA
"85","#D95F02",91.14276652,1,"8",2,FALSE,0,91.14276652,0.55,1.45,NA,0.5,1,NA
"86","#D95F02",779.19033652,2,"8",8,FALSE,0,779.19033652,1.55,2.45,NA,0.5,1,NA
"87","#D95F02",1976.42948176,3,"8",14,FALSE,0,1976.42948176,2.55,3.45,NA,0.5,1,NA
"88","#D95F02",4338.8277478,4,"8",20,FALSE,0,4338.8277478,3.55,4.45,NA,0.5,1,NA
"89","#D95F02",5478.2379554,5,"8",26,FALSE,0,5478.2379554,4.55,5.45,NA,0.5,1,NA
"90","#D95F02",4582.220299656,6,"8",32,FALSE,0,4582.220299656,5.55,6.45,NA,0.5,1,NA
"91","#D95F02",3654.48817432,7,"8",38,FALSE,0,3654.48817432,6.55,7.45,NA,0.5,1,NA
