Month,Pothole,scen,avg.max,median.max
1,Mouth,Drain1RetiredCT,0,0
1,Mouth,Drain1RetiredNT,29.524704,0
1,Mouth,Drain2NT,0,0
1,Mouth,Drain2Retired,0,0
1,Mouth,Drain2RetiredAll,0,0
1,Mouth,Drain2RetiredCT,0,0
1,Mouth,Drain2RetiredNT,0,0
1,Mouth,Drain3NT,0,0
1,Mouth,Drain3Retired,0,0
1,Mouth,Drain3RetiredAll,0,0
1,Mouth,Drain3RetiredCT,0,0
1,Mouth,Drain3RetiredNT,0,0
1,Mouth,NoTillRetired,190.0860866,0
1,Mouth,RetiredAll,0,0
1,Mouth,RetiredPothole,29.96592,0
1,Walnut,ConTillDrain01,782.4139567,0
1,Walnut,ConTillDrain02,366.6092598,0
1,Walnut,ConTillDrain03,0,0
1,Walnut,ConTillRetired,1376.315978,0
1,Walnut,Drain0,1420.269045,0
1,Walnut,Drain01,518.0967162,0
1,Walnut,Drain02,149.0535844,0
1,Walnut,Drain03,0,0
1,Walnut,Drain0CT,1579.983533,0
1,Walnut,Drain0NT,1738.335168,0
1,Walnut,Drain1NT,988.925952,0
1,Walnut,Drain1Retired,332.625881,0
1,Walnut,Drain1RetiredAll,0,0
1,Walnut,Drain1RetiredCT,661.1192931,0
1,Walnut,Drain1RetiredNT,806.710641,0
1,Walnut,Drain2NT,780.6450766,0
1,Walnut,Drain2Retired,46.35875165,0
1,Walnut,Drain2RetiredAll,0,0
1,Walnut,Drain2RetiredCT,128.3409792,0
1,Walnut,Drain2RetiredNT,396.0163331,0
1,Walnut,Drain3NT,102.3640925,0
1,Walnut,Drain3Retired,0,0
1,Walnut,Drain3RetiredAll,0,0
1,Walnut,Drain3RetiredCT,0,0
1,Walnut,Drain3RetiredNT,0,0
1,Walnut,NoTillRetired,1472.8574,0
1,Walnut,RetiredAll,0,0
1,Walnut,RetiredPothole,1272.501919,0
2,Bunny,ConTillDrain01,3577.688111,0
2,Bunny,ConTillDrain02,2356.741977,0
2,Bunny,ConTillDrain03,471.6471371,0
2,Bunny,ConTillRetired,5228.414404,0
2,Bunny,Drain0,4920.64131,0
2,Bunny,Drain01,3021.923757,0
2,Bunny,Drain02,1098.877316,0
2,Bunny,Drain03,451.7455496,0
2,Bunny,Drain0CT,5493.40559,0
2,Bunny,Drain0NT,6083.365246,0
2,Bunny,Drain1NT,4334.619134,0
2,Bunny,Drain1Retired,2812.62724,0
2,Bunny,Drain1RetiredAll,0,0
2,Bunny,Drain1RetiredCT,3261.5955,0
2,Bunny,Drain1RetiredNT,3755.336386,0
2,Bunny,Drain2NT,2912.198301,0
2,Bunny,Drain2Retired,776.388494,0
2,Bunny,Drain2RetiredAll,0,0
2,Bunny,Drain2RetiredCT,1671.782628,0
2,Bunny,Drain2RetiredNT,2330.968777,0
2,Bunny,Drain3NT,783.7001692,0
2,Bunny,Drain3Retired,383.2980891,0
2,Bunny,Drain3RetiredAll,0,0
2,Bunny,Drain3RetiredCT,402.4797293,0
2,Bunny,Drain3RetiredNT,532.0615656,0
2,Bunny,NoTillRetired,5676.973198,0
2,Bunny,RetiredAll,0,0
2,Bunny,RetiredPothole,4730.359425,0
2,Cardinal,ConTillDrain01,1252.994325,0
2,Cardinal,ConTillDrain02,708.822463,0
2,Cardinal,ConTillDrain03,229.8320635,0
2,Cardinal,ConTillRetired,1992.023137,0
2,Cardinal,Drain0,1847.264211,0
2,Cardinal,Drain01,779.1903365,0
2,Cardinal,Drain02,279.9989644,0
2,Cardinal,Drain03,189.7469043,0
2,Cardinal,Drain0CT,2214.293381,0
2,Cardinal,Drain0NT,2792.942903,1424.514355
2,Cardinal,Drain1NT,1675.536816,0
