"","scen","range","pct","area.pct","Pothole"
"105","ConTillDrain02","three",0.84,0.3,"Bunny"
"106","ConTillDrain03","three",0.84,0.3,"Bunny"
"107","ConTillRetired","three",0.96,0.3,"Bunny"
"108","CoverCrop","three",0.76,0.3,"Bunny"
"109","Drain0","three",1,0.3,"Bunny"
"110","Drain01","three",0.92,0.3,"Bunny"
"111","Drain02","three",0.92,0.3,"Bunny"
"112","Drain03","three",0.88,0.3,"Bunny"
"113","Drain0CT","three",0.96,0.3,"Bunny"
"114","Drain0NT","three",0.96,0.3,"Bunny"
"115","Drain1NT","three",0.92,0.3,"Bunny"
"116","Drain1Retired","three",0.92,0.3,"Bunny"
"117","Drain1RetiredAll","three",0.6,0.3,"Bunny"
"118","Drain1RetiredCT","three",0.92,0.3,"Bunny"
"119","Drain1RetiredNT","three",0.88,0.3,"Bunny"
"120","Drain2NT","three",0.8,0.3,"Bunny"
"121","Drain2Retired","three",0.88,0.3,"Bunny"
"122","Drain2RetiredAll","three",0.52,0.3,"Bunny"
"123","Drain2RetiredCT","three",0.88,0.3,"Bunny"
"124","Drain2RetiredNT","three",0.8,0.3,"Bunny"
"125","Drain3NT","three",0.72,0.3,"Bunny"
"126","Drain3Retired","three",0.88,0.3,"Bunny"
"127","Drain3RetiredAll","three",0.44,0.3,"Bunny"
"128","Drain3RetiredCT","three",0.84,0.3,"Bunny"
"129","Drain3RetiredNT","three",0.72,0.3,"Bunny"
"130","NoTillRetired","three",0.96,0.3,"Bunny"
"131","PlantDate01","three",0.88,0.3,"Bunny"
"132","PlantDate02","three",0.84,0.3,"Bunny"
"133","PlantDate03","three",0.84,0.3,"Bunny"
"134","PlantDate04","three",0.84,0.3,"Bunny"
"135","RetiredAll","three",0.76,0.3,"Bunny"
"136","RetiredPothole","three",1,0.3,"Bunny"
"137","Base","four",0.76,0.4,"Bunny"
"138","ConTillDrain01","four",0.84,0.4,"Bunny"
"139","ConTillDrain02","four",0.72,0.4,"Bunny"
"140","ConTillDrain03","four",0.64,0.4,"Bunny"
"141","ConTillRetired","four",0.88,0.4,"Bunny"
"142","CoverCrop","four",0.68,0.4,"Bunny"
"143","Drain0","four",0.92,0.4,"Bunny"
"144","Drain01","four",0.84,0.4,"Bunny"
"145","Drain02","four",0.8,0.4,"Bunny"
"146","Drain03","four",0.76,0.4,"Bunny"
"147","Drain0CT","four",0.92,0.4,"Bunny"
"148","Drain0NT","four",0.84,0.4,"Bunny"
"149","Drain1NT","four",0.72,0.4,"Bunny"
"150","Drain1Retired","four",0.84,0.4,"Bunny"
"151","Drain1RetiredAll","four",0.44,0.4,"Bunny"
"152","Drain1RetiredCT","four",0.84,0.4,"Bunny"
"153","Drain1RetiredNT","four",0.72,0.4,"Bunny"
"154","Drain2NT","four",0.68,0.4,"Bunny"
"155","Drain2Retired","four",0.8,0.4,"Bunny"
"156","Drain2RetiredAll","four",0.4,0.4,"Bunny"
"157","Drain2RetiredCT","four",0.68,0.4,"Bunny"
"158","Drain2RetiredNT","four",0.72,0.4,"Bunny"
"159","Drain3NT","four",0.56,0.4,"Bunny"
"160","Drain3Retired","four",0.76,0.4,"Bunny"
"161","Drain3RetiredAll","four",0.28,0.4,"Bunny"
"162","Drain3RetiredCT","four",0.68,0.4,"Bunny"
"163","Drain3RetiredNT","four",0.56,0.4,"Bunny"
"164","NoTillRetired","four",0.84,0.4,"Bunny"
"165","PlantDate01","four",0.8,0.4,"Bunny"
"166","PlantDate02","four",0.72,0.4,"Bunny"
"167","PlantDate03","four",0.8,0.4,"Bunny"
"168","PlantDate04","four",0.76,0.4,"Bunny"
"169","RetiredAll","four",0.52,0.4,"Bunny"
"170","RetiredPothole","four",0.88,0.4,"Bunny"
"171","Base","five",0.52,0.5,"Bunny"
"172","ConTillDrain01","five",0.64,0.5,"Bunny"
"173","ConTillDrain02","five",0.64,0.5,"Bunny"
"174","ConTillDrain03","five",0.52,0.5,"Bunny"
"175","ConTillRetired","five",0.68,0.5,"Bunny"
"176","CoverCrop","five",0.44,0.5,"Bunny"
"177","Drain0","five",0.8,0.5,"Bunny"
"178","Drain01","five",0.72,0.5,"Bunny"
"179","Drain02","five",0.72,0.5,"Bunny"
"180","Drain03","five",0.52,0.5,"Bunny"
"181","Drain0CT","five",0.68,0.5,"Bunny"
"182","Drain0NT","five",0.64,0.5,"Bunny"
"183","Drain1NT","five",0.56,0.5,"Bunny"
"184","Drain1Retired","five",0.72,0.5,"Bunny"
"185","Drain1RetiredAll","five",0.24,0.5,"Bunny"
"186","Drain1RetiredCT","five",0.64,0.5,"Bunny"
"187","Drain1RetiredNT","five",0.56,0.5,"Bunny"
"188","Drain2NT","five",0.52,0.5,"Bunny"
"189","Drain2Retired","five",0.6,0.5,"Bunny"
"190","Drain2RetiredAll","five",0.24,0.5,"Bunny"
"191","Drain2RetiredCT","five",0.56,0.5,"Bunny"
"192","Drain2RetiredNT","five",0.52,0.5,"Bunny"
"193","Drain3NT","five",0.48,0.5,"Bunny"
"194","Drain3Retired","five",0.52,0.5,"Bunny"
"195","Drain3RetiredAll","five",0.24,0.5,"Bunny"
"196","Drain3RetiredCT","five",0.48,0.5,"Bunny"
"197","Drain3RetiredNT","five",0.48,0.5,"Bunny"
"198","NoTillRetired","five",0.56,0.5,"Bunny"
"199","PlantDate01","five",0.56,0.5,"Bunny"
"200","PlantDate02","five",0.56,0.5,"Bunny"
"201","PlantDate03","five",0.56,0.5,"Bunny"
"202","PlantDate04","five",0.56,0.5,"Bunny"
"203","RetiredAll","five",0.44,0.5,"Bunny"
"204","RetiredPothole","five",0.8,0.5,"Bunny"
"205","Base","six",0.4,0.6,"Bunny"
