"","Year","Month","Pothole","variable","value"
"164",2007,8,"Bunny","Base",0
"165",2007,9,"Bunny","Base",0
"166",2007,10,"Bunny","Base",1744.05
"167",2007,11,"Bunny","Base",0
"168",2007,12,"Bunny","Base",0
"169",2008,1,"Bunny","Base",0
"170",2008,2,"Bunny","Base",0
"171",2008,3,"Bunny","Base",303.24
"172",2008,4,"Bunny","Base",309.12
"173",2008,5,"Bunny","Base",18349.86
"174",2008,6,"Bunny","Base",12156.54
"175",2008,7,"Bunny","Base",4559.22
"176",2008,8,"Bunny","Base",0
"177",2008,9,"Bunny","Base",0
"178",2008,10,"Bunny","Base",0
"179",2008,11,"Bunny","Base",108.02
"180",2008,12,"Bunny","Base",0
"181",2009,1,"Bunny","Base",0
"182",2009,2,"Bunny","Base",0
"183",2009,3,"Bunny","Base",1376.98
"184",2009,4,"Bunny","Base",11923.17
"185",2009,5,"Bunny","Base",13949.48
"186",2009,6,"Bunny","Base",0
"187",2009,7,"Bunny","Base",0
"188",2009,8,"Bunny","Base",0
"189",2009,9,"Bunny","Base",0
"190",2009,10,"Bunny","Base",8748.8
"191",2009,11,"Bunny","Base",0
"192",2009,12,"Bunny","Base",0
"193",2010,1,"Bunny","Base",0
"194",2010,2,"Bunny","Base",0
"195",2010,3,"Bunny","Base",4140.47
"196",2010,4,"Bunny","Base",402.53
"197",2010,5,"Bunny","Base",2733.64
"198",2010,6,"Bunny","Base",14342.07
"199",2010,7,"Bunny","Base",3447.97
"200",2010,8,"Bunny","Base",49297.74
"201",2010,9,"Bunny","Base",18934.29
"202",2010,10,"Bunny","Base",0
"203",2010,11,"Bunny","Base",7364.38
"204",2010,12,"Bunny","Base",0
"205",2011,1,"Bunny","Base",0
"206",2011,2,"Bunny","Base",0
"207",2011,3,"Bunny","Base",0
"208",2011,4,"Bunny","Base",1846.39
"209",2011,5,"Bunny","Base",2093.72
"210",2011,6,"Bunny","Base",6167.59
"211",2011,7,"Bunny","Base",0
"212",2011,8,"Bunny","Base",0
"213",2011,9,"Bunny","Base",0
"214",2011,10,"Bunny","Base",0
