"","fill","y","x","PANEL","group","flipped_aes","ymin","ymax","xmin","xmax","colour","size","linetype","alpha"
"1","#1B9E77",0,1,"1",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"2","#1B9E77",451.7455496,2,"1",7,FALSE,0,451.7455496,1.55,2.45,NA,0.5,1,NA
"3","#1B9E77",3004.82726012,3,"1",13,FALSE,0,3004.82726012,2.55,3.45,NA,0.5,1,NA
"4","#1B9E77",8848.88577712,4,"1",19,FALSE,0,8848.88577712,3.55,4.45,NA,0.5,1,NA
"5","#1B9E77",11854.77590928,5,"1",25,FALSE,0,11854.77590928,4.55,5.45,NA,0.5,1,NA
"6","#1B9E77",10447.084094,6,"1",31,FALSE,0,10447.084094,5.55,6.45,NA,0.5,1,NA
"7","#1B9E77",7675.0944704,7,"1",37,FALSE,0,7675.0944704,6.55,7.45,NA,0.5,1,NA
"8","#1B9E77",11541.75777116,8,"1",43,FALSE,0,11541.75777116,7.55,8.45,NA,0.5,1,NA
"9","#1B9E77",10636.7509688,9,"1",49,FALSE,0,10636.7509688,8.55,9.45,NA,0.5,1,NA
"10","#1B9E77",5149.3123212,10,"1",55,FALSE,0,5149.3123212,9.55,10.45,NA,0.5,1,NA
"11","#1B9E77",3152.60775488,11,"1",61,FALSE,0,3152.60775488,10.55,11.45,NA,0.5,1,NA
"12","#1B9E77",2658.8419336,12,"1",67,FALSE,0,2658.8419336,11.55,12.45,NA,0.5,1,NA
"13","#1B9E77",0,1,"2",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"14","#1B9E77",471.6471372,2,"2",7,FALSE,0,471.6471372,1.55,2.45,NA,0.5,1,NA
"15","#1B9E77",3765.14554868,3,"2",13,FALSE,0,3765.14554868,2.55,3.45,NA,0.5,1,NA
"16","#1B9E77",9950.05237868,4,"2",19,FALSE,0,9950.05237868,3.55,4.45,NA,0.5,1,NA
"17","#1B9E77",12932.114575364,5,"2",25,FALSE,0,12932.114575364,4.55,5.45,NA,0.5,1,NA
"18","#1B9E77",8160.7238874,6,"2",31,FALSE,0,8160.7238874,5.55,6.45,NA,0.5,1,NA
"19","#1B9E77",5739.0177474,7,"2",37,FALSE,0,5739.0177474,6.55,7.45,NA,0.5,1,NA
"20","#1B9E77",9560.0207728,8,"2",43,FALSE,0,9560.0207728,7.55,8.45,NA,0.5,1,NA
"21","#1B9E77",9305.3338588,9,"2",49,FALSE,0,9305.3338588,8.55,9.45,NA,0.5,1,NA
"22","#1B9E77",4388.26473208,10,"2",55,FALSE,0,4388.26473208,9.55,10.45,NA,0.5,1,NA
"23","#1B9E77",4134.12413004,11,"2",61,FALSE,0,4134.12413004,10.55,11.45,NA,0.5,1,NA
"24","#1B9E77",2809.73679084,12,"2",67,FALSE,0,2809.73679084,11.55,12.45,NA,0.5,1,NA
"25","#1B9E77",0,1,"3",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"26","#1B9E77",783.70016912,2,"3",7,FALSE,0,783.70016912,1.55,2.45,NA,0.5,1,NA
"27","#1B9E77",4309.76645352,3,"3",13,FALSE,0,4309.76645352,2.55,3.45,NA,0.5,1,NA
"28","#1B9E77",11117.02790352,4,"3",19,FALSE,0,11117.02790352,3.55,4.45,NA,0.5,1,NA
"29","#1B9E77",14181.481933988,5,"3",25,FALSE,0,14181.481933988,4.55,5.45,NA,0.5,1,NA
"30","#1B9E77",4377.70571604,6,"3",31,FALSE,0,4377.70571604,5.55,6.45,NA,0.5,1,NA
"31","#1B9E77",2272.05599884,7,"3",37,FALSE,0,2272.05599884,6.55,7.45,NA,0.5,1,NA
"32","#1B9E77",7182.8457644,8,"3",43,FALSE,0,7182.8457644,7.55,8.45,NA,0.5,1,NA
"33","#1B9E77",6168.9397372,9,"3",49,FALSE,0,6168.9397372,8.55,9.45,NA,0.5,1,NA
"34","#1B9E77",4040.94798676,10,"3",55,FALSE,0,4040.94798676,9.55,10.45,NA,0.5,1,NA
"35","#1B9E77",4650.4090876,11,"3",61,FALSE,0,4650.4090876,10.55,11.45,NA,0.5,1,NA
"36","#1B9E77",3045.4042028,12,"3",67,FALSE,0,3045.4042028,11.55,12.45,NA,0.5,1,NA
"37","#1B9E77",0,1,"4",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"38","#1B9E77",383.29808908,2,"4",7,FALSE,0,383.29808908,1.55,2.45,NA,0.5,1,NA
"39","#1B9E77",2723.96562164,3,"4",13,FALSE,0,2723.96562164,2.55,3.45,NA,0.5,1,NA
"40","#1B9E77",8508.18227432,4,"4",19,FALSE,0,8508.18227432,3.55,4.45,NA,0.5,1,NA
"41","#1B9E77",11385.73053128,5,"4",25,FALSE,0,11385.73053128,4.55,5.45,NA,0.5,1,NA
"42","#1B9E77",10486.858508,6,"4",31,FALSE,0,10486.858508,5.55,6.45,NA,0.5,1,NA
"43","#1B9E77",7540.4287964,7,"4",37,FALSE,0,7540.4287964,6.55,7.45,NA,0.5,1,NA
"44","#1B9E77",10836.50865224,8,"4",43,FALSE,0,10836.50865224,7.55,8.45,NA,0.5,1,NA
"45","#1B9E77",10335.3690472,9,"4",49,FALSE,0,10335.3690472,8.55,9.45,NA,0.5,1,NA
"46","#1B9E77",4990.20912868,10,"4",55,FALSE,0,4990.20912868,9.55,10.45,NA,0.5,1,NA
"47","#1B9E77",2885.102486696,11,"4",61,FALSE,0,2885.102486696,10.55,11.45,NA,0.5,1,NA
"48","#1B9E77",2553.7635888,12,"4",67,FALSE,0,2553.7635888,11.55,12.45,NA,0.5,1,NA
"49","#1B9E77",0,1,"5",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"50","#1B9E77",402.4797292,2,"5",7,FALSE,0,402.4797292,1.55,2.45,NA,0.5,1,NA
"51","#1B9E77",3340.42827628,3,"5",13,FALSE,0,3340.42827628,2.55,3.45,NA,0.5,1,NA
"52","#1B9E77",9640.20446648,4,"5",19,FALSE,0,9640.20446648,3.55,4.45,NA,0.5,1,NA
"53","#1B9E77",12540.23602932,5,"5",25,FALSE,0,12540.23602932,4.55,5.45,NA,0.5,1,NA
"54","#1B9E77",8474.40136756,6,"5",31,FALSE,0,8474.40136756,5.55,6.45,NA,0.5,1,NA
"55","#1B9E77",5796.30953456,7,"5",37,FALSE,0,5796.30953456,6.55,7.45,NA,0.5,1,NA
"56","#1B9E77",9413.3455948,8,"5",43,FALSE,0,9413.3455948,7.55,8.45,NA,0.5,1,NA
"57","#1B9E77",9097.8902644,9,"5",49,FALSE,0,9097.8902644,8.55,9.45,NA,0.5,1,NA
"58","#1B9E77",4152.15577936,10,"5",55,FALSE,0,4152.15577936,9.55,10.45,NA,0.5,1,NA
"59","#1B9E77",3880.88166776,11,"5",61,FALSE,0,3880.88166776,10.55,11.45,NA,0.5,1,NA
"60","#1B9E77",2609.6059812,12,"5",67,FALSE,0,2609.6059812,11.55,12.45,NA,0.5,1,NA
"61","#1B9E77",0,1,"6",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"62","#1B9E77",532.0615656,2,"6",7,FALSE,0,532.0615656,1.55,2.45,NA,0.5,1,NA
"63","#1B9E77",3957.98213708,3,"6",13,FALSE,0,3957.98213708,2.55,3.45,NA,0.5,1,NA
"64","#1B9E77",10557.11903484,4,"6",19,FALSE,0,10557.11903484,3.55,4.45,NA,0.5,1,NA
"65","#1B9E77",13678.079588,5,"6",25,FALSE,0,13678.079588,4.55,5.45,NA,0.5,1,NA
"66","#1B9E77",4832.01117972,6,"6",31,FALSE,0,4832.01117972,5.55,6.45,NA,0.5,1,NA
"67","#1B9E77",2724.24977516,7,"6",37,FALSE,0,2724.24977516,6.55,7.45,NA,0.5,1,NA
"68","#1B9E77",7201.5735776,8,"6",43,FALSE,0,7201.5735776,7.55,8.45,NA,0.5,1,NA
"69","#1B9E77",6161.5267224,9,"6",49,FALSE,0,6161.5267224,8.55,9.45,NA,0.5,1,NA
"70","#1B9E77",3712.66626684,10,"6",55,FALSE,0,3712.66626684,9.55,10.45,NA,0.5,1,NA
"71","#1B9E77",4332.3882772,11,"6",61,FALSE,0,4332.3882772,10.55,11.45,NA,0.5,1,NA
"72","#1B9E77",2703.38468584,12,"6",67,FALSE,0,2703.38468584,11.55,12.45,NA,0.5,1,NA
"73","#1B9E77",0,1,"7",1,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"74","#1B9E77",0,2,"7",7,FALSE,0,0,1.55,2.45,NA,0.5,1,NA
"75","#1B9E77",0,3,"7",13,FALSE,0,0,2.55,3.45,NA,0.5,1,NA
"76","#1B9E77",3347.5814862,4,"7",19,FALSE,0,3347.5814862,3.55,4.45,NA,0.5,1,NA
"77","#1B9E77",5862.74026992,5,"7",25,FALSE,0,5862.74026992,4.55,5.45,NA,0.5,1,NA
"78","#1B9E77",5565.75308504,6,"7",31,FALSE,0,5565.75308504,5.55,6.45,NA,0.5,1,NA
"79","#1B9E77",2848.5670532,7,"7",37,FALSE,0,2848.5670532,6.55,7.45,NA,0.5,1,NA
"80","#1B9E77",6156.7113472,8,"7",43,FALSE,0,6156.7113472,7.55,8.45,NA,0.5,1,NA
"81","#1B9E77",4598.091367,9,"7",49,FALSE,0,4598.091367,8.55,9.45,NA,0.5,1,NA
"82","#1B9E77",1130.8921584,10,"7",55,FALSE,0,1130.8921584,9.55,10.45,NA,0.5,1,NA
"83","#1B9E77",465.343704,11,"7",61,FALSE,0,465.343704,10.55,11.45,NA,0.5,1,NA
"84","#1B9E77",1139.1130264,12,"7",67,FALSE,0,1139.1130264,11.55,12.45,NA,0.5,1,NA
"85","#D95F02",0,1,"8",2,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"86","#D95F02",189.74690428,2,"8",8,FALSE,0,189.74690428,1.55,2.45,NA,0.5,1,NA
"87","#D95F02",791.84759468,3,"8",14,FALSE,0,791.84759468,2.55,3.45,NA,0.5,1,NA
"88","#D95F02",2552.13202328,4,"8",20,FALSE,0,2552.13202328,3.55,4.45,NA,0.5,1,NA
"89","#D95F02",3654.48794448,5,"8",26,FALSE,0,3654.48794448,4.55,5.45,NA,0.5,1,NA
"90","#D95F02",3474.24562836,6,"8",32,FALSE,0,3474.24562836,5.55,6.45,NA,0.5,1,NA
"91","#D95F02",2560.61328556,7,"8",38,FALSE,0,2560.61328556,6.55,7.45,NA,0.5,1,NA
"92","#D95F02",3625.42889528,8,"8",44,FALSE,0,3625.42889528,7.55,8.45,NA,0.5,1,NA
"93","#D95F02",3401.08224712,9,"8",50,FALSE,0,3401.08224712,8.55,9.45,NA,0.5,1,NA
"94","#D95F02",1503.1978154,10,"8",56,FALSE,0,1503.1978154,9.55,10.45,NA,0.5,1,NA
"95","#D95F02",953.36480504,11,"8",62,FALSE,0,953.36480504,10.55,11.45,NA,0.5,1,NA
"96","#D95F02",785.2952238,12,"8",68,FALSE,0,785.2952238,11.55,12.45,NA,0.5,1,NA
"97","#D95F02",0,1,"9",2,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"98","#D95F02",229.832063472,2,"9",8,FALSE,0,229.832063472,1.55,2.45,NA,0.5,1,NA
"99","#D95F02",1185.82445404,3,"9",14,FALSE,0,1185.82445404,2.55,3.45,NA,0.5,1,NA
"100","#D95F02",2960.02249426,4,"9",20,FALSE,0,2960.02249426,3.55,4.45,NA,0.5,1,NA
"101","#D95F02",4048.81669856,5,"9",26,FALSE,0,4048.81669856,4.55,5.45,NA,0.5,1,NA
"102","#D95F02",2473.77846788,6,"9",32,FALSE,0,2473.77846788,5.55,6.45,NA,0.5,1,NA
"103","#D95F02",1866.11749944,7,"9",38,FALSE,0,1866.11749944,6.55,7.45,NA,0.5,1,NA
"104","#D95F02",3007.13680568,8,"9",44,FALSE,0,3007.13680568,7.55,8.45,NA,0.5,1,NA
"105","#D95F02",3067.17411444,9,"9",50,FALSE,0,3067.17411444,8.55,9.45,NA,0.5,1,NA
"106","#D95F02",1380.7610284,10,"9",56,FALSE,0,1380.7610284,9.55,10.45,NA,0.5,1,NA
"107","#D95F02",1185.02941176,11,"9",62,FALSE,0,1185.02941176,10.55,11.45,NA,0.5,1,NA
"108","#D95F02",855.24707554,12,"9",68,FALSE,0,855.24707554,11.55,12.45,NA,0.5,1,NA
"109","#D95F02",0,1,"10",2,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"110","#D95F02",405.22964336,2,"10",8,FALSE,0,405.22964336,1.55,2.45,NA,0.5,1,NA
"111","#D95F02",1460.86427728,3,"10",14,FALSE,0,1460.86427728,2.55,3.45,NA,0.5,1,NA
"112","#D95F02",3633.8935148,4,"10",20,FALSE,0,3633.8935148,3.55,4.45,NA,0.5,1,NA
"113","#D95F02",4675.24730956,5,"10",26,FALSE,0,4675.24730956,4.55,5.45,NA,0.5,1,NA
"114","#D95F02",1646.82850928,6,"10",32,FALSE,0,1646.82850928,5.55,6.45,NA,0.5,1,NA
"115","#D95F02",902.70850568,7,"10",38,FALSE,0,902.70850568,6.55,7.45,NA,0.5,1,NA
"116","#D95F02",2311.9707444,8,"10",44,FALSE,0,2311.9707444,7.55,8.45,NA,0.5,1,NA
"117","#D95F02",2152.87383136,9,"10",50,FALSE,0,2152.87383136,8.55,9.45,NA,0.5,1,NA
"118","#D95F02",1617.8276648,10,"10",56,FALSE,0,1617.8276648,9.55,10.45,NA,0.5,1,NA
"119","#D95F02",1627.4827978,11,"10",62,FALSE,0,1627.4827978,10.55,11.45,NA,0.5,1,NA
"120","#D95F02",990.92657036,12,"10",68,FALSE,0,990.92657036,11.55,12.45,NA,0.5,1,NA
"121","#D95F02",0,1,"11",2,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"122","#D95F02",155.42342264,2,"11",8,FALSE,0,155.42342264,1.55,2.45,NA,0.5,1,NA
"123","#D95F02",571.18986708,3,"11",14,FALSE,0,571.18986708,2.55,3.45,NA,0.5,1,NA
"124","#D95F02",2387.00064356,4,"11",20,FALSE,0,2387.00064356,3.55,4.45,NA,0.5,1,NA
"125","#D95F02",3368.504522572,5,"11",26,FALSE,0,3368.504522572,4.55,5.45,NA,0.5,1,NA
"126","#D95F02",3271.8013262,6,"11",32,FALSE,0,3271.8013262,5.55,6.45,NA,0.5,1,NA
"127","#D95F02",2377.9634282,7,"11",38,FALSE,0,2377.9634282,6.55,7.45,NA,0.5,1,NA
"128","#D95F02",3472.495233,8,"11",44,FALSE,0,3472.495233,7.55,8.45,NA,0.5,1,NA
"129","#D95F02",3255.4052614,9,"11",50,FALSE,0,3255.4052614,8.55,9.45,NA,0.5,1,NA
"130","#D95F02",1301.990783984,10,"11",56,FALSE,0,1301.990783984,9.55,10.45,NA,0.5,1,NA
"131","#D95F02",881.71805492,11,"11",62,FALSE,0,881.71805492,10.55,11.45,NA,0.5,1,NA
"132","#D95F02",730.30416864,12,"11",68,FALSE,0,730.30416864,11.55,12.45,NA,0.5,1,NA
"133","#D95F02",0,1,"12",2,FALSE,0,0,0.55,1.45,NA,0.5,1,NA
"134","#D95F02",156.6452572,2,"12",8,FALSE,0,156.6452572,1.55,2.45,NA,0.5,1,NA
"135","#D95F02",889.96862208,3,"12",14,FALSE,0,889.96862208,2.55,3.45,NA,0.5,1,NA
